id,text,question,answer
0,1.区人民政府应根据《江州市粮食应急预案》及时修订本区的粮食应急预案，并报市粮食应急工作指挥部办公室备案。,区人民政府应根据《江州市粮食应急预案》及时修订本区的什么预案？,粮食应急预案
1,把保证人民群众的生命安全和身体健康作为重大动物疫病应急处理工作的出发点和落脚点，按照有关法律、法规的规定实施应急处理。区委、区政府统一领导和指挥全区重大动物疫病应急处理工作；各镇人民政府、街道办事处、功能区管委会负责辖区内重大动物疫病应急处理工作；各有关部门按照预案规定的职责做好疫情应急处理工作。,负责辖区内重大动物疫病应急处理工作？,各镇人民政府||街道办事处||功能区管委会
2,区政府各有关部门，要建立和完善重大动物疫情应急体系、应急反应机制和应急处置机制，提高重大动物疫情处理能力。发生重大动物疫情时，要迅速做出反应，采取果断措施，及时控制和扑灭重大动物疫情，最大程度地减少突发动物疫病灾害造成的损失。,哪个机构要建立和完善重大动物疫情应急体系、应急反应机制和应急处置机制？,区政府各有关部门
3,发生重大动物疫情时，长凌区控制重大动物疫病指挥部（以下简称区指挥部）负责指挥协调疫情应急处理工作。各涉农镇、街也要成立控制重大动物疫病指挥部作为本辖区重大动物疫情应急指挥部（以下简称基层指挥部）。,哪个机构负责指挥协调疫情应急处理工作？,长凌区控制重大动物疫病指挥部
4,区指挥部由区政府主管领导任指挥长，政府办主任任常务副指挥长、区农业局局长、区财政局局长任副指挥长。区指挥部成员单位由区政府办、区农业局、区财政局、区卫生局、区公安局、区发改委、区商务委、区民政局、区建设和交通局、区环保和市容局、区综合执法局、区工商局、区食药监局、区教育局以及涉农街镇等部门组成。,区指挥部由谁担任指挥长？,区政府主管领导
5,区农业局：参与组织协调动物疫病灾害应急处置工作，并对日常防控工作提出意见和建议；负责组织制定动物疫病灾害控制和扑灭的技术方案；调集动物防疫和防疫监督有关人员开展疫情控制工作；组织做好疫情的监测、预报、开展流行病学调查和疫源追踪；对疫情进行全面评估，提出启动、停止应急预案建议；迅速将疫情上报到市级指挥机构进行全面评估、诊断疫病；划定疫点、疫区、受威胁区，提出封锁建议，并参与组织实施；负责陆生野生动物疫源疫病监测防控工作；组织建立紧急防疫物资储备库，储备疫苗、药品、诊断试剂、器械、防护用品，交通工具等；评估疫情处理及补贴所需资金，安排资金使用计划；组织成立疫情处理预备队；研究落实恢复畜牧业生产的政策建议。,哪个机构参与组织协调动物疫病灾害应急处置工作？,区农业局
6,区财政局：负责保障免疫、监测、消毒、扑杀、无害化处理等疫情应急处置所需经费，保证防疫经费及时、足额到位，并做好对经费使用的监督管理。,哪个机构负责保障疫情应急处置所需经费？,区财政局
7,区卫生局：负责做好高危人群的健康教育，对患病动物的密切接触人群进行医学观察，开展人畜共患疾病的人间疫情监测和预防工作，指导疫区内相关人员的个人防护。,哪个机构负责做好高危人群的健康教育？,区卫生局
8,区公安局：负责密切注视与疫情有关的社会动态，做好疫区封锁、动物扑杀等疫区安全保卫和社会治安管理，依法、及时、妥善地处置与疫情有关的突发事件，查处打击违法犯罪活动，维护社会稳定。,哪个机构负责密切注视与疫情有关的社会动态？,区公安局
9,区发展改革委：负责安排重大动物疫病防控建设项目、协调防护用品以及生活必需品应急生产。,哪个机构负责安排重大动物疫病防控建设项目？,区发展改革委
