id|ret
25001|用户来电称********查询不到行程大数据，要求核实原因，用户着急请尽快处理，谢谢
25002|用户对其号码欠费停机有异议，称没有接到短信通知。我方解释已有短信提示。用户不认可，称每天都在关注短信，没有收到，要求查询给其发提示短信的时间。请处理，谢谢！
25003|用户来电反映自己的手机号码无法正常使用，我方经系统查询显示为疑似骚扰停机，按照口径正常解释用户不认可，用户表示为什么不提前通知，导致用户有交费50元，现用户强烈要求我方为用户开机并为用户退费，用户加急，加急，尽快联系
25004|********某某人丹用户来电反映，称本机接听不了电话，提示无法接通，主叫都无问题，现核实用户号码无问题，没有呼叫转移，用户更换地点还是这样，现要求我方核实并给予回复谢谢！
25005|用户来电表示自己这个号码是新办的，但是自己在注册美团时提示已经注册过了并且还能看到对方的一些相关信息，我方向用户正常解释用户强烈不认可要求我方为其处理此问题，并要求查询这个号码是不是被别人使用过，烦请处理谢谢
25006|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：以前信号很好，最近信号不好;
25007|用户来电称手机号码********里面办理的承诺通信费70元档得14GB流量与权益（次月生效合约12个月）业务，称当时打电话办理时，工作人员告知用户按自己每月实际消费扣费，用多少扣多少费用，如果消费够70元在赠送流量，我方按业务告知正常解释，解释无效，用户对此业务正常不认可要求投诉，请核实处理，谢谢
25008|用户来电称自己扫码一直提示：但是行某某人录显示仅限哈尔滨市通行，自己确实已经在哈尔滨20多天了，但是现在自己要回北京工作，但是扫完码之后一直提示：仅限哈尔滨市通行，用户要求我方将数据更新， 请核实处理，谢谢！
25009|客户投诉客服人员不到10秒挂断其咨询窗口，要求投诉，道歉无用，并要求与其联系处理，请处理，谢谢
25010|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：一直信号不好;
